# default tests migrated from PARSETEST/NORMTEST
# columns: name<TAB>display<TAB>input<TAB>expected<TAB>mode(parse|norm)

parser/misc/tUnknown	type unknown	?	?	parse
parser/misc/isWord	parse a word	ImAWord 	ImAWord	parse
parser/misc/isNot	Not word	!ImAWord	!ImAWord	parse
parser/misc/world	World cursor	%W	%W	parse
parser/misc/self	self cursor	%self	%	parse
parser/misc/args	args cursor	%args	%args	parse
parser/misc/vars	vars cursor	%vars	%vars	parse
parser/num/bare	Simple number	34	34	parse
parser/num/plus	Positive number	+34	+34	parse
parser/num/sized	Sized number	*64+34 	*64+34	parse
parser/num/divd	Sized number	/64-34	/64-34	parse
parser/num/unknown	Unknown number	_	_	parse
parser/num/neg	Negative number	-34	-34	parse
parse/largenum	parse a large number	12345678901234567890123456789012345678901234567890	12345678901234567890123456789012345678901234567890	parse
parse/hexnum	parse a hex number	0x149F890204B24B57979284D4060E107E870B684045F15	123456789123456789123456789123456789123456789123456789	parse
parse/binnum	parse a binary number	0b11001010101010101010101000001111	3400182287	parse
parse/decimal	parse decimal number	123.456	123.456	parse
parse/frac	parse fraction number	123/246	1/2	norm
parser/str/quote1	Single Quoted	'Hello There!'	'Hello There!'	parse
parser/str/quote2	Double Quoted	"Hello There!"	'Hello There!'	parse
parser/str/unknown	Unknown string	$	$	parse
parser/str/sized	Size given	*4+$	*4+$	parse
parser/list/simple	simple list	{'A' 12 {1 2 3}}	{'A' 12 {1 2 3}}	parse
parser/list/time	time list	{T 'A' 12}	{T 'A' 12}	parse
parser/list/empty	empty list	{}	{}	parse
parser/list/unknown	Unknown list	{1 ... 3}	{1 ... 3}	parse
parser/list/defClass	define a class	{'A' class item {1 2 3} 12}	{'A' class item {1 2 3} 12}	parse
parser/list/classed	classed list	{item| 'A' 12}	{item| 'A' 12}	parse
parser/list/sized1	sized list1	{~2| 'A' 12}	{~2| 'A' 12}	parse
parser/list/sized2	sized list2	{~2 'A' 12}	{~2| 'A' 12}	parse
parser/list/CandS1	Both specs1	{~ 2 item| 'A' 12}	{~2 item| 'A' 12}	parse
parser/list/CandS2	Both specs2	{~2 item | 'A' 12}	{~2 item| 'A' 12}	parse
parser/list/noC	No C	{item| 'A' 12}	{item| 'A' 12}	parse
parser/list/partial	partial lists	{ {...} {1 ... } {1 ... 5} {}}	{{ ... } {1 ... } {1 ... 5} {}}	parse
parser/list/embedded	Embedded list	{1 2 &{3 4 5} 6 7}	{1 2 &{3 4 5} 6 7}	parse
parser/list/concat	concated list	(1 2 3)	(1 2 3)	parse
parser/list/square	square brackets	[1 2 3]	[1 2 3]	parse
parser/list/commas	comma list	{2, 3, 4 , 5 }	{2, 3, 4, 5}	parse
parser/ident/bare	Simple identity	_=34	_ = 34	parse
parser/ident/force	Force identity	123<<=456	123 <<= 456	parse
merge/ident/force	Force identity	123<<=456	456	norm
parser/func/right	Args on right	[_ 2 3]<:1	[_ 2 3]<:1	parse
parser/func/left	Args on left	1:>[_ 2 3]	1:>[_ 2 3]	parse
parser/func/rightInv	Invert on right	[_ 2 3]<!1	[_ 2 3]<!1	parse
parser/func/leftInv	Invert on left	1!>[_ 2 3]	1!>[_ 2 3]	parse
merge/num/typed1	typed int merge 1	*16+10 = *16+10	*16+10	norm
merge/num/typed2	typed int merge 2	*16+_ = *16+9	*16+9	norm
merge/num/typed3	typed int merge 3	_ = *16+10	*16+10	norm
merge/num/typed4	typed int merge 4	*_+_ = *16+9	*16+9	norm
merge/num/typed5	typed int merge 5	*_+8 = *16+8	*16+8	norm
merge/num/typed6	typed int merge 6	*16+10 = *16+_	*16+10	norm
merge/num/typed7	typed int merge 7	*16+_ = *_+9	*16+9	norm
merge/str/typed1	typed str merge 1	*5+'Hello' = *5+'Hello'	*5+'Hello'	norm
merge/str/typed2	typed str merge 2	*5+$ = 'Hello'	'Hello'	norm
merge/str/typed3	typed str merge 3	$ = 'Hello'	'Hello'	norm
merge/str/typed4	typed str merge 4	*_+$ = 'Hello'	'Hello'	norm
merge/str/typed5	typed str merge 5	'Hello' = *5+$	'Hello'	norm
merge/str/loose	loose str merge	$ == 'Hello'	'Hello'	norm
merge/str/looseSize	loose str merge	$ =: 'Hello'	*_+'Hello'	norm
merge/unknown/loose	unknown merge	? == 'Hello'	'Hello'	norm
merge/unknown/looseSize	unknown merge	? ==: 'Hello'	*_+'Hello'	norm
merge/unknown/typed	typed merge	? = 'Hello'	'Hello'	norm
merge/func/loose	loose merge	[...] == 'Hello'	'Hello'	norm
merge/func/looseSize	loose merge	[...] =: 'Hello'	*_+'Hello'	norm
merge/func/typed	typed merge	[...] = 'Hello'	'Hello'	norm
merge/list/empty	Merge empty list	{} = {}	{}	norm
merge/list/N_dots1	Merge N items ...	{{1 ... 4} 5} = {{1 2 3 4} 5}	{{1 &{2 3} 4} 5}	norm
merge/list/N_dots2	Merge N items ...	{1 ... 4} = {1 2 3 4}	{1 &{2 3} 4}	norm
merge/list/N_dots3	Merge N items ...	*3+{...} = {1 2 3}	{1 2 3}	norm
merge/list/dots	Merge to ...	*_+{...} = {2 3 4}	{2 3 4}	norm
merge/list/dotsC	Merge cont to ...	{...} = {2 3 4 ...}	{2 3 4 ... }	norm
merge/list/nums	Simple list merge	{_ _ _} = {2 3 4}	{2 3 4}	norm
merge/list/misc	Merge misc items	*4+{3 _ $ *3+{...}} = *4+{3 4 'hi' {5 6 7}}	{3 4 'hi' {5 6 7}}	norm
merge/list/multiID	Merge many idents	{_ _ _} = {_ 2 _} = { 1 _ _} = { _ _ 3}	{1 2 3}	norm
merge/calcSize	Merge calc'd size	*(10)+5	*10+5	norm
trav/list/withEmpty	traverse over {}	{{1 2} {} {_=3} _=4}	{{1 2} {} {3} 4}	norm
merge/intersect/onRHS	When [] is on RHS	_ = *_+[5 6 7]	*_+[t5 t6 t7]	norm
noRHS/dots/simple	Test dots in LHS	{...}	{ ... }	norm
noRHS/dots/nestedOut	Test nested LHS dots	{{...} _=5}	{{ ... } 5}	norm
noRHS/dots/nestedIn	Test nested LHS dots	{1 _=2 3 ...}	{1 2 3 ... }	norm
merge/dots/align1	Test 1 of alignment	{1 ... 4}  = {_ 2 3 _}	{1 &{2 3} 4}	norm
merge/dots/align2a	R dots inside L dots	{{1 ... 5} 6}  = {{_ 2 ... 4 _} 6}	{*_+{1 &{2 &{ ... } 4} 5} 6}	norm
merge/dots/align2b	R dots inside L dots	{1 ... 5}  = {_ 2 ... 4 _}	*_+{1 &{2 &{ ... } 4} 5}	norm
